,년,월,상품소매가격,중품소매가격,전체소매가격
0,2016,1월,4064,3333,3698
1,2016,2월,4091,3438,3764
2,2016,3월,4409,3491,3950
3,2016,4월,4362,3479,3920
4,2016,5월,4597,3523,4060
5,2016,6월,4703,3556,4129
6,2016,7월,4813,3494,4153
7,2016,8월,4948,3533,4240
8,2016,9월,4446,3419,3932
9,2016,10월,4378,3374,3876
10,2016,11월,4437,3377,3907
11,2016,12월,4512,3436,3974
12,2016,연평균,4489,3456,3972
13,2017,1월,4316,3459,3887
14,2017,2월,4288,3464,3876
15,2017,3월,4376,3469,3922
16,2017,4월,4487,3504,3995
17,2017,5월,4680,3507,4093
18,2017,6월,4762,3514,4138
19,2017,7월,5101,3674,4387
20,2017,8월,5558,4017,4787
21,2017,9월,5046,3944,4495
22,2017,10월,4509,3696,4102
23,2017,11월,4469,3475,3972
24,2017,12월,4443,3462,3952
25,2017,연평균,4680,3601,4140
26,2018,1월,4750,3729,4239
27,2018,2월,5130,4013,4571
28,2018,3월,5252,4204,4728
29,2018,4월,5506,4390,4948
30,2018,5월,6090,4628,5359
31,2018,6월,6332,4836,5584
32,2018,7월,6597,4909,5753
33,2018,8월,6430,4963,5696
34,2018,9월,5874,5033,5453
35,2018,10월,5566,4606,5086
36,2018,11월,5220,4449,4834
37,2018,12월,5441,4574,5007
38,2018,연평균,5682,4522,5102
39,2019,1월,5326,4549,4937
40,2019,2월,5446,4617,5031
41,2019,3월,5244,4583,4913
42,2019,4월,5450,4536,4993
43,2019,5월,5536,4525,5030
44,2019,6월,5372,4596,4984
45,2019,7월,5231,4465,4848
46,2019,8월,5264,4240,4752
47,2019,9월,4833,3863,4348
48,2019,10월,4475,3671,4073
49,2019,11월,4202,3616,3909
50,2019,12월,4134,3577,3855
51,2019,연평균,5042,4236,4639
52,2020,1월,4188,3572,3880
53,2020,2월,4136,3651,3893
54,2020,3월,4618,4048,4333
55,2020,4월,5097,4324,4710
56,2020,5월,6149,4987,5568
57,2020,6월,6952,5721,6336
58,2020,7월,7487,6272,6879
59,2020,8월,7891,6170,7030
60,2020,9월,6391,5124,5757
61,2020,10월,5707,4693,5200
62,2020,11월,5678,4534,5106
63,2020,12월,5797,4588,5192
64,2020,연평균,5861,4825,5343
65,2021,1월,6198,4734,5466
66,2021,2월,6441,5144,5792
67,2021,3월,6592,5271,5931
68,2021,4월,6816,5247,6031
69,2021,5월,6992,5459,6225
70,2021,6월,6951,5677,6314
71,2021,7월,6989,5521,6255
72,2021,8월,6258,4687,5472
73,2021,9월,5996,4662,5329
74,2021,10월,5622,4492,5057
75,2021,11월,5411,4423,4917
76,2021,12월,5295,4457,4876
77,2021,연평균,6299,4986,5642
