,년,월,평균온도,강수량,일사량,순간최대풍속,습도
0,2016,01,-1.23,198.1,209.3,15.4,68.94
1,2016,02,1.37,309.42,285.32,15.17,64.3
2,2016,03,6.56,348.7,446.8,13.45,63.29
3,2016,04,13.46,1074.22,456.6,19.61,68.1
4,2016,05,18.32,768.4,561.43,17.65,68.58
5,2016,06,22.07,499.58,496.12,11.38,77.91
6,2016,07,25.44,1751.38,459.44,13.52,83.7
7,2016,08,26.67,358.35,529.91,14.86,76.87
8,2016,09,21.83,1021.65,331.56,12.33,80.21
9,2016,10,16.48,972.42,252.46,13.98,79.55
10,2016,11,5.69,13.6,3.52,5.56,75.62
11,2016,12,2.68,378.3,201.64,14.61,71.26
12,2017,01,-0.51,92.3,243.36,14.93,67.96
13,2017,02,0.79,229.4,310.7,14.28,63.62
14,2017,03,5.63,137.95,451.58,15.09,60.24
15,2017,04,12.96,374.45,515.2,15.62,63.34
16,2017,05,17.83,216.6,605.78,14.53,65.54
17,2017,06,21.54,371.8,562.67,12.03,69.64
18,2017,07,25.56,1932.22,389.94,13.77,86.16
19,2017,08,24.93,1638.07,447.31,12.9,82.03
20,2017,09,20.2,581.42,425.96,12.2,77.18
21,2017,10,14.64,386.12,325.59,13.81,75.4
22,2017,11,6.09,82.57,231.09,14.36,67.86
23,2017,12,-1.39,202.6,183.87,13.72,66.77
24,2018,01,-2.85,185.68,220.63,13.88,66.15
25,2018,02,-0.92,208.9,296.37,15.54,57.02
26,2018,03,7.66,701.0,382.35,15.01,72.54
27,2018,04,12.62,886.08,490.3,16.81,68.12
28,2018,05,17.35,821.3,538.2,14.75,73.7
29,2018,06,21.67,1046.68,569.15,12.92,74.17
30,2018,07,26.06,1059.1,595.79,11.59,78.34
31,2018,08,27.31,1870.9,526.19,14.25,76.43
32,2018,09,20.48,834.75,433.96,12.26,76.16
33,2018,10,12.67,922.53,399.16,16.14,73.54
34,2018,11,7.44,321.33,272.72,13.65,72.22
35,2018,12,1.1,185.55,115.12,12.68,64.59
36,2019,01,-0.53,55.9,230.38,12.48,61.54
37,2019,02,1.4,219.35,312.39,12.82,61.76
38,2019,03,6.27,255.27,438.71,16.42,64.05
39,2019,04,11.26,350.68,483.92,13.86,64.95
40,2019,05,17.64,450.92,728.76,15.93,60.96
41,2019,06,20.2,832.03,603.42,12.08,75.78
42,2019,07,23.48,1527.95,486.94,13.53,81.05
43,2019,08,24.81,800.2,558.27,13.1,80.1
44,2019,09,21.6,1391.98,389.08,23.81,81.87
45,2019,10,15.52,764.92,402.13,12.86,76.74
46,2019,11,7.56,366.18,289.98,14.27,71.47
47,2019,12,2.37,195.8,219.3,14.02,71.27
48,2020,01,2.29,456.12,231.19,16.45,72.59
49,2020,02,3.03,357.58,315.63,14.83,72.59
50,2020,03,7.36,183.55,515.45,17.14,63.39
51,2020,04,10.02,239.62,614.58,16.38,59.92
52,2020,05,17.34,746.13,577.49,14.53,75.66
53,2020,06,22.11,1244.25,561.19,14.46,79.0
54,2020,07,22.58,1948.9,402.64,13.72,86.18
55,2020,08,26.4,2692.52,433.48,19.58,86.75
56,2020,09,20.32,1229.97,419.65,19.24,81.24
57,2020,10,13.72,76.72,425.55,12.71,70.97
58,2020,11,8.51,272.02,268.61,14.86,69.95
59,2020,12,0.34,79.28,249.46,13.84,66.98
